cnpj_fornecedor;nome_fornecedor;cod_produto_xml;descricao_produto_xml;id_sistema_sugerido;descricao_sistema_sugerida;CONFIRMAR_ID_SISTEMA
2884314000120;RAFAEL & DANTAS LTDA;27133;MARCADOR P/QUADRO BCO COMPACTOR VERMELHO;;;
2884314000120;RAFAEL & DANTAS LTDA;3302;MARCADOR P/QUADRO BCO PILOT WBM-7 AZUL;;;
2884314000120;RAFAEL & DANTAS LTDA;475;APAGADOR P/QUADRO BRANCO SUPER RADEX;;;
2884314000120;RAFAEL & DANTAS LTDA;11978;MARCADOR P/QUADRO BCO PILOT WBMA-VBM PRE;;;
2884314000120;RAFAEL & DANTAS LTDA;7826;COLA GLITER ACRILEX 35G 2912 201 OURO;;;
2884314000120;RAFAEL & DANTAS LTDA;3313;MARCADOR RETRO-PROJ 2MM PILOT AZUL;;;
2884314000120;RAFAEL & DANTAS LTDA;18080;CANETA BIC CRISTAL AZUL C/50 835205;1016405;CANETA BIC CRISTAL AZUL CX C/100;1016405
2884314000120;RAFAEL & DANTAS LTDA;23897;BORRACHA CIS DADINHOS C/24;;;
2884314000120;RAFAEL & DANTAS LTDA;38032;CANETA BIC CRISTAL UP 1.2 SORT 930008;;;
2884314000120;RAFAEL & DANTAS LTDA;3314;MARCADOR RETRO-PROJ 2MM PILOT PRETO;;;
2884314000120;RAFAEL & DANTAS LTDA;3306;MARCADOR PERMAN CD/DVD PILOT 2M PRETO;;;
2884314000120;RAFAEL & DANTAS LTDA;10825;FITA EURO 45X45 PP33 TRANSPARENTE;;;
2884314000120;RAFAEL & DANTAS LTDA;3611;PAPEL REPORT SENINHA A4 100F BRANCO;;;
2884314000120;RAFAEL & DANTAS LTDA;28526;BORRACHA F.CASTELL C/CINTA OFFICE7024N;;;
2884314000120;RAFAEL & DANTAS LTDA;24025;PASTA POLIBRAS C/FERRAG SOFT AZ 8160609;;;
2884314000120;RAFAEL & DANTAS LTDA;28525;BORRACHA F.CASTELL C/CINTA PLA 7024FLVN;;;
2884314000120;RAFAEL & DANTAS LTDA;27586;BORRACHA EVA IBEL 40X95 ABER C/10 AMAREL;;;
2884314000120;RAFAEL & DANTAS LTDA;27591;BORRACHA EVA IBEL 40X95 ABER C/10 VERMEL;;;
