chave;data_emissao;cProd;xProd;uCom;qCom;vUnCom;vProd;ncm;cfop;cst;orig;cnpj_emitente;xNome_emitente
23250102884314000120550010005876451345250450;2025-01-02T17:42:00-03:00;46527;FITA DUREX ADERE 12X20 COL PCT-MEL 731I;UN;10;0.66;6.6;39191010;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;54619;BARBANTE SISAL ECO BRASIL 400/1 200MT;UN;10;10.19;101.9;56072900;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;54717;FITA ADERE 45X50 KRAFT SCK326;UN;5;12.43;62.15;48114110;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;54780;FITA EURO DUPLA FACE 18X30 DPF740;UN;8;7.53;60.24;48114110;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;3109;BINGO LUGO C/SORTEIO AUTOMATICO 022BG;UN;2;26.9;53.8;95030099;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;7162;TAPETE IBEL ALFABETICO 30X30X05 26PCS;UN;2;91.46;182.92;95030080;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;17690;FITA 3M SCOTCH 3777 38X10;UN;120;10.53;1263.6;48114110;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;4941;ABC XALINGO C/72 PECAS 5266-5;UN;6;26.35;158.1;95030070;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;17891;PALITO PICOLE COMUM C/30;UN;20;3.03;60.6;44219900;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;39225;ESPETO P/CHURRASCO TALGE C/50;UN;10;2.89;28.9;44219100;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;19085;BALAO SAO ROQUE 7 CINTILANTE DOURADO;UN;17;9.39;159.63;95030099;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;13351;BALAO SAO ROQUE 7 LISO LARANJA MANDAR;UN;22;7.56;166.32;95030099;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;13348;BALAO SAO ROQUE 7 LISO AZUL COBALTO;UN;22;7.56;166.32;95030099;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
