key;cEAN;cProd;xProd;maxPrice
7899555687520;7899555687520;60303;***GARRAFA TERMICA GT COLORS 500ML LILAS 3;89
7899555687346;7899555687346;60044;***GARRAFA TERMICA GT COLORS 750ML PRETO 3;110
7899555687384;7899555687384;60049;***GARRAFA TERMICA GT COLORS 500ML RSA ES 3;89
7899555687537;7899555687537;60304;***GARRAFA TERMICA GT COLORS 500ML VD CL 3;89
7899555687391;7899555687391;60050;***GARRAFA TERMICA GT COLORS 500ML AZ ES 3;89
7899555688558;7899555688558;63540;***GARRAFA TERMICA GT COLORS 350ML AZ ES 3;63
7899555688565;7899555688565;63536;***GARRAFA TERMICA GT COLORS 350ML PRETO 3;63
7899555688572;7899555688572;63537;***GARRAFA TERMICA GT COLORS 350ML RSA CL 3;63
7899555687308;7899555687308;60005;***GARRAFA TERMICA GT COLORS 500ML CINZA 3;89
7899555688541;7899555688541;63538;***GARRAFA TERMICA GT COLORS 350ML AZ CL 3;63
7899555688831;7899555688831;64512;***MOUSE S FIO GT COMPACT 3 PRETO;48.2916
7899555615714;7899555615714;26365;***CXS USB GT 6W RMS SOUND PRETA AZUL;29
7899555688978;7899555688978;65242;***LIMPADOR DE TELAS  120ML;11
7899555689500;7899555689500;66417;***SSD 240GB GOLDENTEC SATA;131.2073
7899555686219;7899555686219;54812;***MOUSE GT OPTICO 1200 PRETO;5.99
7899555658803;7899555658803;50912;SSD 120GB GOLDENTEC SATA;91
7898067611412;7898067611412;2450;ESPIRAL 12 MM 070 FLS PCT 100 UN PRETO;15.136
7896572014230;7896572014230;6235;COLA POLAR ISOPOR 90G;5.39
7896572014216;7896572014216;2283;COLA ISOPOR POLAR C/40GRS;3.2725
7897464701634;7897464701634;9144;COLA ISOPOR KOALA C/40GRS;1.892
7897464701665;7897464701665;1288;COLA ISOPOR KOALA C/90GRS;4.092
7898688403557;7898688403557;58954;BOBINA TERMICA 57 X 15 AMARELA 48G;1.364
7896243104451;7896243104451;102016;BALAO SAO ROQUE 07 BRANCO POLAR   C/50UN;8.92
4902505355783;4902505355783;8431;MARCADOR QUADRO BRANCO REC.PILOT AZUL;11.792
7894494753886;7894494753886;58449;CAD.CALIGRAFIA C.DURA 40F PAUTA T.SA M.P;4.84
7894494753992;7894494753992;58452;CAD.CALIGRAFIA C.DURA 40FLS T.SARA M.P;4.84
7898948807712;7898948807712;54980;GRAMPEADOR PISTOLA 106/6/8 CORPO METAL;68.024
7898119103230;7898119103230;25612;TINTA MASTER EP BULK INK 664 100ML PRETA;6.59
7898119194696;7898119194696;37743;TINTA MASTER EP BULK INK 664 100ML CYANO;6.165
7898119103254;7898119103254;37744;TINTA MASTER EP BULK INK 664 100ML MAGEN;6.165
